,20_topics,25_topics,30_topics,35_topics,40_topics,45_topics,50_topics
Purity,0.2980031454034218,0.29066387075251393,0.3297907830148215,0.34037077634275364,0.343945098413001,0.34284897297812517,0.35647905447266837
Rand Index,0.8912827939251702,0.8927496049393454,0.9078092789805245,0.9113824699146291,0.9149188921100224,0.9140339575156077,0.9217640238043194
Adjusted Rand Index,0.12545416961363498,0.1020575670468945,0.11041104997035857,0.11186195991123608,0.09615416945708219,0.10942208501497744,0.10199472721502532
F Score (beta=0.5),0.16361922774824425,0.14510270960690916,0.15820005960623845,0.1615305666229928,0.14908686436228338,0.1609930793261028,0.15971108480394547
F Score (beta=1),0.1815942298446667,0.15799167225644248,0.1591745618479924,0.15858822547005996,0.14047344719751498,0.15449115168104455,0.14141786678922516
F Score (beta=1.5),0.19535131248784812,0.1675308894853878,0.15980558246324458,0.1567578382411883,0.13545681387396524,0.15059250670091961,0.13174480522035115
