,20_topics,25_topics,30_topics,35_topics,40_topics,45_topics,50_topics
Purity,0.28851927751036555,0.29495305723681076,0.2920459419530096,0.28399180288805226,0.28956774531763807,0.2829433350807797,0.2730305485392937
Rand Index,0.8724765198736781,0.8785390825231184,0.8686951181204362,0.8181698968576007,0.8470333067761646,0.8261756650886318,0.7278165679491447
Adjusted Rand Index,0.12121296794301027,0.09531282544547232,0.0959374459909154,0.05364508347691086,0.06792465815203505,0.06322846950168741,0.030845633684264354
F Score (beta=0.5),0.15505603915222138,0.13633926600192442,0.13518790752715504,0.10064820856726196,0.11202994499937044,0.10769273622196102,0.08460983801614179
F Score (beta=1),0.1834446504378413,0.15649421037488706,0.15998975869878515,0.12966998153197726,0.13814999640906114,0.1375165314689249,0.11751424841346807
F Score (beta=1.5),0.2078370059679901,0.17287639230978702,0.18131285393876703,0.15907282123355865,0.16242558350089825,0.16719779998269177,0.1565379298188781
