,20_topics,25_topics,30_topics,35_topics,40_topics,45_topics,50_topics
Purity,0.2731258637945003,0.2914263927941667,0.32960015250440833,0.32893294571796217,0.3488538340561407,0.35161797645713194,0.34952104084258684
Rand Index,0.8747236785448635,0.8780839296930656,0.8945294953584192,0.8945210686212918,0.9010383252865262,0.8976340915675058,0.8813778299396592
Adjusted Rand Index,0.10690581517023788,0.10158893910380287,0.11331707852516952,0.11046670646533988,0.12269720538658493,0.11170258956771956,0.09794232202787505
F Score (beta=0.5),0.14463006377667356,0.14117459764299062,0.15495184649760957,0.15260399280495565,0.16538598596389661,0.15475164953510362,0.13897120079838426
F Score (beta=1),0.16893774207376747,0.16275467502935287,0.1683719383517493,0.16556233581885485,0.17482774738657084,0.16545804671129813,0.15813671968155155
F Score (beta=1.5),0.18933602225447352,0.1804351074816676,0.17826908896073643,0.17509310660258548,0.18146871688834304,0.17313646951750708,0.17347234241752463
