,20_topics,25_topics,30_topics,35_topics,40_topics,45_topics,50_topics
Purity,0.2866606300338369,0.29886098270028116,0.3051041319163132,0.27874946385168947,0.2803221655625983,0.2758900061954916,0.2930944097602821
Rand Index,0.8848034144212127,0.875661199613126,0.8760926894384905,0.7956877528750812,0.8060059358844869,0.8355061845368301,0.8221956830729696
Adjusted Rand Index,0.11423521751149847,0.10288377967696637,0.09557616518052535,0.04912592512135611,0.052783606085954636,0.060601189477031,0.05554889237551697
F Score (beta=0.5),0.15267783216965117,0.14170846737434514,0.13610535706175958,0.0971291660818486,0.0998151758952744,0.10612934546345454,0.10209297338274646
F Score (beta=1),0.17291058612531876,0.16475307618379822,0.15751372443275666,0.12842870990026786,0.1305776820159646,0.133402526229976,0.13085525514045224
F Score (beta=1.5),0.18896263015117348,0.18392618335124786,0.17517652829164032,0.16186486575102996,0.16272592916052128,0.15971207930292106,0.1596952261298718
