,20_topics,25_topics,30_topics,35_topics,40_topics,45_topics,50_topics
Purity,0.2709812705523519,0.31778106085879043,0.2918076538149931,0.3030071963017681,0.31668493542391457,0.3080589048277177,0.335938616975647
Rand Index,0.8623476227309176,0.8821751082970867,0.8337530552543697,0.875320214307325,0.8919296811454864,0.8936722531572815,0.9019673878186532
Adjusted Rand Index,0.09670694940302532,0.10873187203880506,0.06758337115906246,0.09242955648188708,0.09082105902602756,0.10162698172726414,0.10194082133796764
F Score (beta=0.5),0.13487823284986022,0.14766999211196036,0.11111821946320982,0.13351632217835732,0.1355530010312111,0.14502055376568773,0.14812923375615722
F Score (beta=1),0.16236552853214578,0.16841191403048839,0.14037899834055598,0.1546865460957928,0.14724145236109226,0.15718754778946267,0.15374996436407135
F Score (beta=1.5),0.18676374773024995,0.1850760317181731,0.16888743087395833,0.17218778672670154,0.1558562999681222,0.16612174689023199,0.1575829448503827
