,20_topics,25_topics,30_topics,35_topics,40_topics,45_topics,50_topics
Purity,0.2868512605442501,0.30934566077300674,0.3299337558976314,0.34346852213696805,0.3514750035743221,0.34489825096506693,0.35643139684506503
Rand Index,0.9000293427617937,0.9009523407688181,0.9080003092498958,0.9124266948256877,0.9134353366467627,0.9127549605282774,0.9119338737992677
Adjusted Rand Index,0.11944255931162746,0.11519963663190899,0.10704698327049385,0.113187645562047,0.11282607652765654,0.10620816690454647,0.10455904610954189
F Score (beta=0.5),0.16220288732633542,0.1590434147949402,0.15531365151478907,0.16338992492001445,0.16372565583178483,0.15721104297072994,0.1552061837073967
F Score (beta=1),0.17205924567073877,0.1674239812605305,0.1556965627508932,0.15929514522477403,0.15830852412472757,0.15205151582716503,0.1508955392279329
F Score (beta=1.5),0.17903299583290347,0.17327691757067115,0.15594301330766056,0.15677653061058736,0.1550206319940498,0.14891858253293566,0.1482560433228191
