,20_topics,25_topics,30_topics,35_topics,40_topics,45_topics,50_topics
Purity,0.2982414335414383,0.34275365772291855,0.3571939188867178,0.34270600009531527,0.36076824095696514,0.3552876137825859,0.3637706714959729
Rand Index,0.9010439082837929,0.9112942776372208,0.9188297476249468,0.9183163435549019,0.9237525066306269,0.9234364154053964,0.9230984282917809
Adjusted Rand Index,0.13023584276583045,0.13475144187651392,0.1395892240420071,0.1229493540083992,0.12066508334273207,0.11347016798955722,0.11578653721251636
F Score (beta=0.5),0.17166366534468622,0.18176874781570287,0.19273740328185499,0.17690985298678777,0.18028494131321748,0.17280678352776815,0.17474486746584594
F Score (beta=1),0.18230287298218517,0.1816458071211262,0.18189826444913865,0.1653580835715086,0.1589792563359172,0.15184944697325733,0.15449834748425684
F Score (beta=1.5),0.18984521026635773,0.18156708641642502,0.17556901728959284,0.15871470417310857,0.14778388437113976,0.14089603378308943,0.14381687314457384
