,20_topics,25_topics,30_topics,35_topics,40_topics,45_topics,50_topics
Purity,0.2868512605442501,0.3113949387599485,0.3326502406710194,0.3384644712386217,0.30610494209598244,0.33374636610589525,0.3412762712672163
Rand Index,0.8959838684177399,0.90579593841537,0.918472036040923,0.9136588019043227,0.913926649491659,0.9222680108252727,0.9196136385999946
Adjusted Rand Index,0.11942632228945801,0.12102885228621445,0.11414767044272968,0.10662209776594288,0.10049566729332188,0.11078447390520486,0.10131162954618901
F Score (beta=0.5),0.16050640306161415,0.16638073810714163,0.16875512463972459,0.15815613009179594,0.1526058388728881,0.1689440581048055,0.15726596453253505
F Score (beta=1),0.17380084496409534,0.17086119501056304,0.15630075538181867,0.15189978250118683,0.14553001089668738,0.15002922506609107,0.14238161226506826
F Score (beta=1.5),0.18354622089563385,0.17386243283843428,0.14924039981154033,0.14814320816980986,0.1413293851803689,0.13998284060318172,0.13423748758229628
