,20_topics,25_topics,30_topics,35_topics,40_topics,45_topics,50_topics
Purity,0.3164943049135014,0.3280274507934995,0.34994995949101654,0.337701949196969,0.2588726513569937,0.2630480167014614,0.2661795407098121
Rand Index,0.8970836598239699,0.9040554106255195,0.910648212648398,0.911144931324659,0.8864383522795444,0.8855570316948187,0.8842437767641137
Adjusted Rand Index,0.12361575664104915,0.1233141002194332,0.12972922233824777,0.1153773840173281,0.03169927241470038,0.030043053059342312,0.032299059451759614
F Score (beta=0.5),0.16438809049817285,0.16740437100657002,0.1769235495680307,0.1645483782210769,0.10582742521182777,0.10408490598232262,0.10704705765473393
F Score (beta=1),0.17747795452561,0.17401051850523327,0.1769694073617825,0.1622665309497384,0.08596562077502502,0.08510489876353743,0.08881256976045335
F Score (beta=1.5),0.18702432494680687,0.1785265790686773,0.1769988158889914,0.16083680171807094,0.07673389080177077,0.07619798022503868,0.08006954699185444
