,20_topics,25_topics,30_topics,35_topics,40_topics,45_topics,50_topics
Purity,0.31320592860887386,0.32102177953581473,0.339941857694324,0.34037077634275364,0.3476147357384549,0.3532859934232474,0.3481866272696945
Rand Index,0.8954556732662464,0.9033702146859602,0.9136943077681438,0.9142402876505559,0.916472573471415,0.9203452065786897,0.9185229053683371
Adjusted Rand Index,0.12478090008361649,0.12085436416507075,0.1259940743799844,0.11703380118375678,0.11221449751302745,0.11366101129701481,0.111776088416847
F Score (beta=0.5),0.16466904231908266,0.16496521838750722,0.17584486920595255,0.16813726575595958,0.16532793206220237,0.16993770490592489,0.16653780107862254
F Score (beta=1),0.1793027974061917,0.17189573472815464,0.1714339294401585,0.1620530606891369,0.15571802231237883,0.15444567930245154,0.15385098763552604
F Score (beta=1.5),0.19013406161737326,0.17665313796329168,0.16872095407360255,0.15837927667870208,0.15012431776285154,0.14591852187762303,0.14668775601375994
